what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400834769042
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1400834771055
activated,editor,org.jboss.tools.jst.jsp,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1400834773393
started,bundle,org.eclipse.draw2d,3.6.1.v20100913-2020,"org.eclipse.draw2d",1400834775722
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1400834776642
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400834778758
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400834782606
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.run",1400834785101
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400834788190
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400834788767
error,log,,,"Error logged from Console plug-in: ",1400834797593
error,log,,,"Error logged from Console plug-in: ",1400834797596
error,log,,,"An internal error occurred during: ""Match Job"".",1400834797600
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400834908804
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400834912289
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400834945433
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400834957254
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400834961938
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400835093532
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1400835106429
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400835111903
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400835190964
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400835206617
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400835271486
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400835279785
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400835280951
