what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1400406137875
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1400406152244
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400406155354
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1400406157022
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1400406159078
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400406160682
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406162640
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406187653
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400406191181
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1400406193448
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400406198544
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406212835
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406253464
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400406292829
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400406293210
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1400406300497
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400406301587
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406315552
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406319847
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406320305
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406329323
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406334628
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406361944
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406362726
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406395407
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406419379
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406427739
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406430094
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406556591
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1400406559320
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406568770
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406588511
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406591584
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406613299
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400406613343
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1400406615140
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1400406625297
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1400406628950
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406631945
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406632198
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.navigate.backwardHistory",1400406640316
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406642027
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406649387
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406652484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406694250
activated,editor,org.jboss.tools.jst.jsp,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1400406697654
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406737841
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406765489
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400406767303
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1400406777361
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1400406790991
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.stop",1400406795488
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406796442
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406803827
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400406803848
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400406817149
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1400406821861
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406822274
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406822638
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406825749
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406827239
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1400406827311
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406832128
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406835072
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400406851648
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1400406853774
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.run",1400406855635
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400406856828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406856975
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400406859158
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400407033488
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400407051372
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400407052698
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400407128204
activated,editor,org.jboss.tools.jst.jsp,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1400407131577
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400407135950
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400407136874
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400407137507
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400407145721
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400407159978
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400407167128
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400407176096
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400407182185
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400407186956
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.navigate.open.type",1400407187006
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400407188770
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400407192188
opened,editor,org.jboss.tools.jst.jsp,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1400407193580
