what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400845115720
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400845117791
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400845120873
activated,editor,org.jboss.tools.jst.jsp,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1400845121181
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400845122979
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1400845123177
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1400845123408
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400845126955
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400845128541
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400845131664
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1400845134023
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1400845136263
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400845137618
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400845140428
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400845144466
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400845145728
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400845146047
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400845146820
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400845151417
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400845205192
activated,editor,org.jboss.tools.jst.jsp,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1400845210221
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400845216485
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400845242993
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1400845261553
