what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399231401
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400399233344
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1400399241101
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399243460
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399243699
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399264703
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399284366
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1400399286672
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399290645
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399290924
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1400399293910
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399299613
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399299898
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400399301761
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1400399307059
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399309690
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399338144
activated,editor,org.jboss.tools.jst.jsp,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1400399343074
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400399346407
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1400399352821
started,bundle,org.jboss.tools.jsf.text.ext.facelets,3.2.0.v20110215-1535-H41-GA,"org.jboss.tools.jsf.text.ext.facelets",1400399353289
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400399354551
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399356128
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1400399356233
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1400399356540
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399369446
activated,editor,org.jboss.tools.jst.jsp,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1400399373327
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1400399378123
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400399386557
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399406123
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399476838
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399478039
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399539007
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399540115
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399543641
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400399543778
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400399544228
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.navigate.open.type",1400399544334
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1400399546717
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399547561
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399611563
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400399616317
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.ui",1400399624340
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1400399627937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399628347
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399628433
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399633359
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399634603
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1400399634627
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399635080
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399635749
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399678875
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399694344
opened,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1400399699375
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1400399699473
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399706157
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400399707183
started,bundle,org.eclipse.rse.services,3.2.0.v201006041352,"org.eclipse.rse.services",1400399707578
