what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1400428061423
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428070629
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428080011
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428085855
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428087106
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428093108
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428181942
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400428193548
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428221814
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428233403
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428244557
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428249111
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428256938
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428262589
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1400428276401
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.run",1400428278456
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428283133
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428283883
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400428283897
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428287267
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428291556
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428346254
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428598068
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400428603177
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1400428607588
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400428609015
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428610578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428614904
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428615311
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428615771
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400428615809
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1400428627261
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428628682
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428664370
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1400428664583
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400428667044
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400428667456
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1400428678960
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400428680278
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1400428697588
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1400428699007
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400428746699
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428755966
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428759584
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428760363
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428776197
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400428799410
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400428806038
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400428806296
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400428806503
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400428806732
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1400428806733
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400428806787
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428815181
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428817754
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1400428817823
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400428818071
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400428821654
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400428823529
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1400428824864
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428826583
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400428837664
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1400428837739
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400428839778
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400428842518
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400428842963
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400428843372
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1400428890631
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400428891930
