what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400841883635
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400841883811
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.navigate.open.type",1400841883890
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1400841886559
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400841893728
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400841915428
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400841915684
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400841918186
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400841918186
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400841920416
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400841920518
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400841950053
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400841976341
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400841979516
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400841979689
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400841979882
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.navigate.open.type",1400841979989
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400841994512
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400841997843
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400842043135
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400842043459
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400842076532
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400842076751
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400842102187
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400842263475
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400842267317
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400842290438
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400842307976
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400842322399
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400842347519
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400842349596
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400842352241
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400842373280
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400842380264
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1400842383652
