what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400397263143
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400397273137
opened,editor,org.jboss.tools.jst.jsp,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1400397273658
activated,editor,org.jboss.tools.jst.jsp,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1400397273825
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.navigate.openResource",1400397273825
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400397297800
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400397301270
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.navigate.open.type",1400397301288
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400397302454
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400397305924
opened,editor,org.jboss.tools.jst.jsp,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1400397306462
activated,editor,org.jboss.tools.jst.jsp,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1400397306642
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.navigate.openResource",1400397306642
activated,editor,org.jboss.tools.jst.jsp,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1400397323494
activated,editor,org.jboss.tools.jst.jsp,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1400397325636
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400397386105
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400397395186
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.navigate.open.type",1400397395207
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400397396554
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400397400741
opened,editor,org.jboss.tools.jst.jsp,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1400397401248
activated,editor,org.jboss.tools.jst.jsp,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1400397401445
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.navigate.openResource",1400397401445
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400397404450
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400397405154
