what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1400421771870
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400421772201
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1400421791238
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1400421794406
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400421795213
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400421798934
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400421799276
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400421799510
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400421805206
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400421807925
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400421828537
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400421850001
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400421853352
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1400421853425
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400421869099
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1400421873414
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1400421875159
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1400421876390
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400421885496
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400421890456
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1400421892249
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1400421893690
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400421894717
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400421901346
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400421902548
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400421915251
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400421916713
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400421941404
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1400421961810
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400421962309
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1400421965572
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400421966444
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400421966659
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400421966975
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400421972498
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1400421979100
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1400421981971
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400421983458
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400421984642
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400422021048
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1400422028032
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1400422028819
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400422029711
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400422138323
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1400422156814
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400422160526
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400422160747
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400422162600
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400422162784
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400422164674
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400422168704
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400422170006
